Timestamp,Are these things sports? [Chess],Are these things sports? [eSports (Videogames)],Are these things sports? [Ping Pong (Table Tennis)],Are these things sports? [Foosball],Are these things sports? [Skiing],Are these things sports? [Snowboarding],Are these things sports? [Cycling],Are these things sports? [Bowling],Are these things sports? [Golf],Are these things sports? [Ultimate Frisbee],Are these things sports? [Sailing],Are these things sports? [Rowing (Crew)],Are these things sports? [Frisbee Golf],Are these things sports? [Kickball],Are these things sports? [Scrabble],Are these things sports? [Cornhole],Are these things sports? [Pickleball],"In a few words, what makes a sport a sport in your opinion?",Which of the following have you played in the past year?,Which of the following is your favorite to play?,How often would you say you watch televised sports or sports content on channels like ESPN?,Which one of the following best describes you?,Please rate your opinion towards P.E./Gym Class when you were in school.,What is your age?,To which gender do you most closely identify?,Which race/ethnicity best describes you? (Please choose only one.),What was your total household income before taxes during the past 12 months?,In which state do you currently live?,"What zip code did you grow up in? (Enter ""00000"" if outside of the US)",Are these things sports? [NASCAR],Are these things sports? [Crossfit]
10/19/2019 12:52:19,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Never heard of/Don't know what this is,,"Cycling, Bowling, Cornhole",Cycling,Once a week,Casual mainstream/traditional sports fan,1,25-29,Female,White/Caucasian,"Under $50,000",Michigan,48208,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly
10/19/2019 14:17:56,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Never heard of/Don't know what this is,Is it competitive.,"Snowboarding, Cycling, Foosball",Snowboarding,Once a month,Not a mainstream/traditional sports fan,3,25-29,Male,Multiple ethnicity/Other,"Under $50,000",Michigan,48327,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly
10/19/2019 15:53:10,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,An outcome where one side can win by using a combination off strategy and skill,"Soccer, eSports (Videogames), Snowboarding, Cycling, Ping Pong, Foosball, Cornhole",Soccer,Once a month,Casual mainstream/traditional sports fan,5,25-29,Male,White/Caucasian,"$50,000 to $100,000",Florida,48103,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly
10/19/2019 18:43:09,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,"Has a ball, opposing competitors play at the same time","Chess, eSports (Videogames), Foosball, Frisbee Golf, Scrabble, Cornhole",Frisbee Golf,Once a week,Casual mainstream/traditional sports fan,2,35-39,Male,Hispanic or Latino,"$50,000 to $100,000",California,49424,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly
10/19/2019 19:11:50,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Physical activity and competition ,"Volleyball, Bowling, Cornhole",Cornhole,Once a month,Casual mainstream/traditional sports fan,1,25-29,Female,White/Caucasian,"Under $50,000",Wyoming,49534,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly
10/19/2019 19:52:38,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Never heard of/Don't know what this is,Never heard of/Don't know what this is,,"Chess, Scrabble",Scrabble,Never,Not a mainstream/traditional sports fan,2,25-29,Female,Multiple ethnicity/Other,"$50,000 to $100,000",District of Columbia,00000,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly
10/20/2019 6:40:56,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,"Physical, not just mental skill. A ""win"" condition (thus excluding crossfit broadly but competitive crossfit would be a sport for sure)",Bowling,Volleyball,A few times a week,Casual mainstream/traditional sports fan,3,30-34,Male,White/Caucasian,"Under $50,000",Virginia,20011,Sport - Feel Strongly,Not a Sport - Feel Strongly
10/20/2019 8:09:48,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,,"Soccer, Football, Volleyball, Snowboarding, Cycling, Ping Pong, Foosball, Basketball, Cornhole",Soccer,A few times a week,Avid mainstream/traditional sports fan,4,25-29,Female,White/Caucasian,"Under $50,000",District of Columbia,80027,Sport - Don't Feel Strongly,Sport - Feel Strongly
10/20/2019 12:02:20,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Never heard of/Don't know what this is,Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Never heard of/Don't know what this is,moving your body,"Chess, Bowling, Scrabble",Basketball,A few times a week,Casual mainstream/traditional sports fan,3,25-29,Female,Hispanic or Latino,"Under $50,000",New York,97035,Not a Sport - Feel Strongly,Sport - Feel Strongly
10/20/2019 15:08:57,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Never heard of/Don't know what this is,Sweating,"Soccer, Skiing, Snowboarding, Cycling, Crossfit",Soccer,Once a month,Not a mainstream/traditional sports fan,2,25-29,Female,White/Caucasian,Not sure/Refuse,Colorado,03253,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly
10/20/2019 17:59:57,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,,Cornhole,Bowling,Never,Not a mainstream/traditional sports fan,1,30-34,Female,White/Caucasian,"Over $100,000",District of Columbia,98282,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly
10/21/2019 11:07:56,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,I know it when I see it.,"Soccer, eSports (Videogames), Volleyball, Cycling",Soccer,A few times a week,Casual mainstream/traditional sports fan,3,30-34,Male,White/Caucasian,"Over $100,000",District of Columbia,02048,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly
10/21/2019 13:43:36,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Never heard of/Don't know what this is,"I don't have a great definition and I'm PISSED about it, but: active, coachable, professional opportunities","Football, Volleyball, Cycling, Ping Pong, Bowling, Basketball, Kickball",Volleyball,A few times a week,Avid mainstream/traditional sports fan,4,18-24,Female,White/Caucasian,"$50,000 to $100,000",Virginia,22205,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly
10/21/2019 14:32:39,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Physical exertion and competition,"Chess, Soccer, eSports (Videogames), Skiing, Cycling, Ping Pong, Foosball, Bowling, Golf, Basketball, Cornhole",Soccer,Daily,Casual mainstream/traditional sports fan,3,30-34,Male,White/Caucasian,"Over $100,000",Minnesota,30066,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly
10/21/2019 14:44:38,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Never heard of/Don't know what this is,A sport is a competitive activity that can be practiced and coached that is usually accompanied by a training,"Chess, Soccer, eSports (Videogames), Bowling, Cornhole",eSports (Videogames),Never,Not a mainstream/traditional sports fan,4,30-34,Male,White/Caucasian,"Over $100,000",District of Columbia,21801,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly
10/21/2019 15:05:55,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Physical competition involving some sort of skill or dexterity.,"Ping Pong, Bowling, Golf, Cornhole",Cornhole,Once a week,Casual mainstream/traditional sports fan,2,40-44,Female,White/Caucasian,"Over $100,000",Maryland,48240,Sport - Feel Strongly,Not a Sport - Feel Strongly
10/21/2019 19:59:35,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Never heard of/Don't know what this is,"Strenuous physical activity, and competition must be an essential element of the activity.",Scrabble,Soccer,Once a month,Casual mainstream/traditional sports fan,1,30-34,Female,White/Caucasian,"Over $100,000",New York,22554,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly
10/21/2019 20:45:14,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,physical exertion and skill ,"Chess, Football, eSports (Videogames), Cycling, Basketball, Kickball, Cornhole",Ultimate Frisbee,Daily,Avid mainstream/traditional sports fan,5,25-29,Male,White/Caucasian,"Under $50,000",Maryland,97401,Sport - Feel Strongly,Sport - Feel Strongly
10/21/2019 21:04:40,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Never heard of/Don't know what this is,"Physical activity, competition, some level of skill","Cycling, Cornhole",Cycling,Never,Not a mainstream/traditional sports fan,1,30-34,Female,White/Caucasian,"$50,000 to $100,000",Maryland,21040,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly
10/23/2019 14:08:26,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,,Skiing,Skiing,A few times a week,Casual mainstream/traditional sports fan,2,30-34,Male,White/Caucasian,"Over $100,000",California,10504,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly
10/26/2019 22:29:45,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Never heard of/Don't know what this is,,"Chess, Cycling, Ultimate Frisbee, Crossfit",Cycling,Once a month,Not a mainstream/traditional sports fan,2,30-34,Male,White/Caucasian,"$50,000 to $100,000",Massachusetts,19462,Sport - Don't Feel Strongly,Sport - Feel Strongly
11/3/2019 19:50:40,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Never heard of/Don't know what this is,Sports are defined culturally. They also usually have a team element and involve physical activity (but not always),"Skiing, Cycling",Soccer,Never,Not a mainstream/traditional sports fan,2,25-29,Female,Asian/Pacific Islander,"$50,000 to $100,000",District of Columbia,94960,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly
11/3/2019 20:54:17,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Never heard of/Don't know what this is,Physicality over mentality,"Soccer, eSports (Videogames), Volleyball, Cycling, Bowling, Ultimate Frisbee, Basketball",Volleyball,A few times a week,Casual mainstream/traditional sports fan,4,25-29,Male,White/Caucasian,"Under $50,000",Pennsylvania,15217,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly
11/3/2019 21:37:18,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,,"Chess, Soccer, eSports (Videogames), Skiing, Cycling, Bowling, Ultimate Frisbee, Frisbee Golf, Kickball, Scrabble, Cornhole",eSports (Videogames),Daily,Avid mainstream/traditional sports fan,5,25-29,Male,White/Caucasian,"$50,000 to $100,000",Outside of US,97212,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly
11/3/2019 21:39:07,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,"Sports require a gradient of physical activity that something like chess simply can’t provide. Sport requires skill, but ultimately it has to get your heart rate up and not because you’re nervous about winning an Overwatch round. Skill doesn’t mean sport!","Soccer, eSports (Videogames), Skiing, Cycling, Ping Pong, Foosball, Bowling, Ultimate Frisbee, Frisbee Golf, Scrabble, Cornhole",Cycling,Once a week,Casual mainstream/traditional sports fan,4,25-29,Female,White/Caucasian,"Under $50,000",Outside of US,97212,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly
11/3/2019 22:22:42,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,"Physical activity, skill, strategy ","Chess, Cycling, Sailing",Cycling,Once a month,Not a mainstream/traditional sports fan,1,50+,Female,White/Caucasian,"Over $100,000",California,20804,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly
11/3/2019 23:49:46,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Never heard of/Don't know what this is,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Athleticism,"Chess, Skiing, Cycling, Foosball, Scrabble",Skiing,Never,Not a mainstream/traditional sports fan,1,25-29,Female,White/Caucasian,Not sure/Refuse,Illinois,94903,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly
11/4/2019 0:28:36,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Never heard of/Don't know what this is,A game of skill and ability where both the mind and body of a team/individual are involved in directly competing with another team or individual.,"Snowboarding, Cycling, Ping Pong, Ultimate Frisbee, Sailing, Scrabble, Cornhole",Snowboarding,Once a month,Not a mainstream/traditional sports fan,2,25-29,Male,White/Caucasian,"Under $50,000",District of Columbia,20002,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly
11/4/2019 1:04:26,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Never heard of/Don't know what this is,"Something you play competitively and that requires practice to improve your ability, is not won by luck ","Bowling, Scrabble",Bowling,Never,Not a mainstream/traditional sports fan,1,25-29,Female,White/Caucasian,"Under $50,000",Outside of US,60044,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly
11/4/2019 7:06:56,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Never heard of/Don't know what this is,,"Soccer, Skiing, Kickball",Kickball,A few times a week,Avid mainstream/traditional sports fan,3,25-29,Male,White/Caucasian,"$50,000 to $100,000",District of Columbia,28391,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly
11/4/2019 7:12:17,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Never heard of/Don't know what this is,,"Chess, Soccer, eSports (Videogames), Snowboarding, Cycling, Ping Pong, Foosball, Bowling, Sailing, Cornhole",Soccer,A few times a week,Casual mainstream/traditional sports fan,4,18-24,Male,White/Caucasian,"$50,000 to $100,000",Virginia,22932,Sport - Don't Feel Strongly,Sport - Feel Strongly
11/4/2019 13:35:02,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Never heard of/Don't know what this is,Sport = competition involving physical and mental exertion,"Chess, Soccer, Football, eSports (Videogames), Volleyball, Skiing, Ping Pong, Foosball, Bowling, Golf, Kickball, Scrabble, Cornhole",Soccer,A few times a week,Avid mainstream/traditional sports fan,4,30-34,Male,White/Caucasian,"$50,000 to $100,000",District of Columbia,19087,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly
11/4/2019 13:54:59,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Never heard of/Don't know what this is,"physical/ mental exertion, skill-based, competitive","eSports (Videogames), Cycling, Bowling, Basketball",Basketball,Daily,Casual mainstream/traditional sports fan,5,18-24,Male,Black or African American,Not sure/Refuse,District of Columbia,48219,Sport - Feel Strongly,Sport - Feel Strongly
